,Model,Brand,Price,Odometer,Paint color,Condition,Fuel,Transmission,Type
264,2020,Toyota,39990.0,17632,black,good,gas,other,sedan
265,2018,MINI,28590.0,15290,blue,good,other,other,hatchback
266,2020,Toyota,33590.0,15609,white,good,electric,other,pickup
267,2018,Chrysler,33590.0,11995,black,good,other,automatic,van
268,2020,Ford,26990.0,7402,silver,good,other,other,hatchback
269,2013,Toyota,17590.0,13722,silver,good,gas,other,sedan
270,2015,Subaru,23990.0,41250,white,good,gas,other,hatchback
271,2020,Kia,21590.0,4763,red,good,gas,other,sedan
272,2019,Ford,29990.0,31157,white,good,other,other,pickup
273,2010,Toyota,15990.0,68094,white,good,hybrid,automatic,hatchback
274,2008,toyota,6800.0,188000,silver,fair,gas,automatic,truck
275,2014,Mercedes-Benz,25990.0,61743,black,good,other,automatic,sedan
276,2017,Volkswagen,26990.0,33536,white,good,gas,automatic,wagon
277,2016,GMC,27990.0,29262,white,good,gas,automatic,pickup
278,2021,Toyota,32590.0,4109,black,good,gas,other,sedan
279,2001,isuzu,10000.0,140000,white,fair,gas,automatic,truck
280,2016,Mercedes-Benz,29990.0,33647,silver,good,gas,automatic,sedan
281,2006,FORD,17988.0,189989,white,good,diesel,manual,truck
282,2021,Subaru,35590.0,3411,green,good,gas,automatic,hatchback
283,2016,Scion,16990.0,43283,red,good,diesel,other,sedan
284,2015,Hyundai,27590.0,25932,blue,good,other,automatic,sedan
285,2013,Lexus,37590.0,38439,silver,good,gas,automatic,sedan
286,2016,Ford,19990.0,30333,silver,good,hybrid,automatic,wagon
287,2015,Toyota,37990.0,19705,silver,good,gas,automatic,pickup
288,2018,Ford,23990.0,8491,white,good,other,automatic,hatchback
289,2018,nissan,16995.0,70562,blue,good,gas,automatic,SUV
290,2018,Cadillac,30990.0,8237,silver,good,gas,other,sedan
291,2012,infiniti,19950.0,76000,black,good,gas,automatic,convertible
292,2015,nissan,13995.0,109775,red,good,gas,automatic,SUV
293,2017,2017,26550.0,142776,white,good,gas,automatic,truck
294,2017,Lincoln,30990.0,35310,red,good,gas,automatic,sedan
295,2015,2015,10750.0,103412,blue,good,gas,automatic,SUV
296,2014,Toyota,36590.0,85829,black,good,gas,other,pickup
297,2013,Ram,25990.0,12577,white,good,gas,other,pickup
298,2017,Chevrolet,36990.0,33465,silver,good,other,automatic,pickup
299,2017,Hyundai,21590.0,49381,white,good,gas,automatic,sedan
300,2010,ford,4900.0,118450,white,good,gas,automatic,sedan
301,2019,Ford,28990.0,5587,white,good,other,automatic,sedan
302,2021,MINI,30990.0,7991,red,good,gas,other,hatchback
303,2016,gmc,27250.0,141565,black,good,gas,automatic,truck
304,2004,volvo,3000.0,200900,grey,good,gas,automatic,sedan
305,2013,gmc,13995.0,205545,black,good,gas,automatic,truck
306,2004,ford,2800.0,220000,red,fair,gas,automatic,SUV
307,2017,Toyota,27590.0,24118,red,good,other,other,coupe
308,2008,gmc,11995.0,192235,black,good,gas,automatic,truck
309,2012,Chevrolet,17590.0,39782,black,good,gas,other,sedan
310,2018,Toyota,34990.0,24800,blue,good,gas,other,pickup
311,2018,Nissan,31990.0,37516,black,good,other,other,pickup
312,2017,Buick,23990.0,16542,red,good,gas,other,sedan
313,2016,Chevrolet,29990.0,21310,red,good,gas,other,pickup
314,2015,2015,20995.0,129861,black,good,gas,automatic,SUV
315,2006,chevy,3600.0,228000,grey,fair,gas,automatic,SUV
316,2018,Ram,25990.0,42438,white,good,gas,other,pickup
317,2001,nissan,2800.0,255000,white,fair,gas,automatic,sedan
318,2018,Ford,24590.0,15366,black,good,gas,automatic,hatchback
319,1992,chevy,1000.0,89000,grey,fair,gas,automatic,sedan
320,2006,cadillac,2995.0,113747,silver,good,gas,automatic,sedan
321,2013,2013,14995.0,120099,white,good,gas,automatic,SUV
322,2003,Chevrolet,4000.0,268000,black,fair,gas,automatic,SUV
323,2018,Toyota,22990.0,30975,silver,good,gas,other,hatchback
324,2002,dodge,15500.0,164000,silver,good,diesel,automatic,truck
325,2020,Nissan,32990.0,3932,black,good,other,other,pickup
326,2006,suzuki,2600.0,167000,silver,fair,gas,automatic,sedan
327,2013,Honda,15990.0,68078,blue,good,other,automatic,coupe
328,2017,Subaru,26990.0,6716,silver,good,gas,automatic,hatchback
329,2013,BMW,34590.0,46951,white,good,other,other,coupe
330,2014,Volkswagen,19990.0,50943,black,good,other,automatic,wagon
331,2012,Ford,31990.0,68374,brown,good,other,other,pickup
332,2011,MINI,15990.0,42262,black,good,other,automatic,hatchback
333,2018,Audi,39590.0,41510,silver,good,gas,other,sedan
